test,bandwidth,cpu,copy_cycles_0,perf_cycles,rd_runtime,blocksize,zerocopy,rd_bw,rd_iops,iodepth,Total_rx_bytes,Total_rx_packets,Total_tx_packets,crc_cycles_0,cpu_1,copy_cycles_0_std,crc_cycles_0_std,perf_cycles_std,cpu_1_std
fio-4K-4-0-0-0,1.00,3.38,0,52772130480.6,30001.0,4K,0,144873.7,36218.1,4,157075624.5,112431.88,54562.25,63838584.5,83.25,0,0.0,223187686.264,0.43,
fio-4K-4-0-0-1,1.00,3.39,31127879.7063,52930710807.4,30001.0,4K,0,138735.0,34683.4,4,154753517.25,110881.5,53919.88,64122164.3438,83.25,354690.384966,374407.162875,209661772.974,0.43,
fio-4K-2-0-0-0,0.00,3.19,0,52398845923.6,30001.0,4K,0,101863.6,25465.6,2,110622041.75,80593.62,48206.12,49135653.4,77.50,0,0.0,278718879.305,0.50,
fio-4K-2-0-0-1,0.00,3.18,20159397.525,52505282943.4,30001.0,4K,0,98097.0,24523.9,2,109540828.38,79814.0,47456.25,49541704.325,77.00,246903.753003,330478.705243,191887810.655,0.00,
fio-256K-4096-0-0-1,9.00,3.97,802169642.575,61502971590.2,30004.3,256K,0,1101665.0,4166.5,4096,1188689184.62,789685.5,6189.38,304067556.45,100.00,18728251.5781,4080511.81636,49759636.0929,0.00,
fio-4K-256-0-0-0,2.00,3.96,0,61377914012.2,30001.0,4K,0,288932.5,72224.2,256,314772624.12,221434.38,52151.25,99323244.3,99.00,0,0.0,91022751.6865,0.00,
fio-1024K-1-0-0-1,7.00,2.21,191453082.533,61941896304.7,30001.0,1024K,0,820476.2,800.8,1,913138499.33,606114.0,7210.67,231429985.467,51.00,415031.943681,631472.218226,3143851.71819,0.00,
fio-1024K-1-0-0-0,7.00,2.21,190874598.0,61968441146.7,30001.2,1024K,0,856616.2,836.2,1,918564142.0,609715.33,7399.67,230607730.2,51.00,0.0,2.98023223877e-08,7873575.4749,0.00,
fio-4K-64-0-0-1,1.62,3.69,55973462.1937,56102502153.9,30001.0,4K,0,223851.1,55960.2,64,251171369.12,178012.75,56928.0,84507191.55,91.12,465972.238639,607581.110757,167237816.608,0.33,
fio-4K-64-0-0-0,1.75,3.67,0,55713710260.8,29900.5,4K,0,231284.8,57818.5,64,251074318.75,177845.5,57223.12,83128748.9,90.88,0,0.0,249578209.123,0.33,
fio-64K-2048-0-0-0,7.38,3.97,0,61453308575.0,30002.4,64K,0,920408.6,14312.7,2048,984413855.75,659922.88,15359.75,253184533.4,100.00,0,0.0,54031615.0249,0.00,
fio-16K-4096-0-0-1,5.00,3.98,422103779.625,61452707443.4,30001.3,16K,0,580994.0,36175.1,4096,642566882.88,434413.5,35759.62,176385082.075,100.00,833586.416557,247647.691062,68630480.9251,0.00,
fio-1024K-64-0-0-1,10.00,3.92,818772596.933,61804506105.7,30010.6,1024K,0,1160265.4,1130.4,64,1285396345.67,850476.33,3074.0,326810199.733,99.00,4050881.56757,1409475.99214,66717956.9137,0.00,
fio-1024K-64-0-0-0,10.00,3.94,821143826.6,61935448465.7,30011.4,1024K,0,1204339.2,1173.6,64,1289082782.67,852909.0,3035.0,327615930.8,99.00,0.0,0.0,18918009.4758,0.00,
fio-64K-16-0-0-1,9.00,3.81,260603970.038,59102481680.0,30001.1,64K,0,1114348.3,17410.7,16,1235345873.75,829037.0,25595.75,323910182.413,95.12,968916.672237,1283831.74878,83514780.2543,0.33,
fio-64K-16-0-0-0,9.00,3.80,0,58938103150.0,30001.0,64K,0,1153843.4,18027.8,16,1239429612.62,831830.0,25860.62,323648319.7,95.00,0,0.0,137180539.149,0.00,
fio-1024K-4096-0-0-0,10.00,3.94,817082343.2,62384643727.3,30009.2,1024K,0,1331153.2,1163.2,4096,1278338844.67,845720.67,3015.67,325996503.0,100.00,0.0,0.0,17223021.4909,0.00,
fio-1024K-4096-0-0-1,10.00,3.93,816509367.8,62408610938.0,30004.0,1024K,0,1293651.0,1126.2,4096,1280961075.0,847459.67,3032.67,325928901.467,100.00,431195.992804,177351.079736,26683623.9323,0.00,
fio-64K-64-0-0-0,10.00,3.94,0,61046621331.5,30001.4,64K,0,1206991.4,18856.7,64,1297296700.75,870042.75,25693.12,341286666.9,99.00,0,0.0,41605746.737,0.00,
fio-64K-64-0-0-1,10.00,3.95,273113635.2,61003570656.1,30001.4,64K,0,1168896.2,18261.3,64,1298051078.12,870494.12,25460.0,338866532.812,99.00,1291347.4159,1546287.52057,80091008.701,0.00,
fio-256K-512-0-0-0,9.00,3.96,0,61395632495.1,29913.4,256K,0,1110558.9,4320.4,512,1190172126.62,790731.62,6259.38,295221150.4,100.00,0,0.0,85757367.5011,0.00,
fio-256K-2048-0-0-0,9.00,3.96,0,61437697664.9,30004.0,256K,0,1133078.2,4357.4,2048,1202995440.88,799259.5,6338.5,292729035.8,100.00,0,0.0,77700889.0971,0.00,
fio-256K-2048-0-0-1,9.00,3.97,790043599.875,61479647824.0,30005.0,256K,0,1092468.0,4198.7,2048,1197782135.25,795748.5,6294.0,305769966.125,100.00,20317987.5107,5782112.57499,65239942.1063,0.00,
