[337995.895303] Running randread depth 2048 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[338050.807882] tee (4208): drop_caches: 3
[338051.052910] Running randread depth 4096 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[338070.169406] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[338090.201448] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[338090.214221] nvme_tcp: copy    0                0      16328072536                0                0                0
[338090.226211] nvme_tcp: copy    1                0                0                0                0                0
[338090.238194] nvme_tcp: copy    2                0                0                0                0                0
[338090.250177] nvme_tcp: copy    3                0                0                0                0                0
[338090.262159] nvme_tcp: copy    4                0                0                0                0                0
[338090.274141] nvme_tcp: copy    5                0                0                0                0                0
[338090.286124] nvme_tcp: copy    6                0                0                0                0                0
[338090.298107] nvme_tcp: copy    7                0                0                0                0                0
[338090.310090] nvme_tcp: copy    8                0                0                0                0                0
[338090.322072] nvme_tcp: copy    9                0                0                0                0                0
[338090.334055] nvme_tcp: copy   10                0                0                0                0                0
[338090.346037] nvme_tcp: copy   11                0                0                0                0                0
[338090.358020] nvme_tcp: copy   12                0                0                0                0                0
[338090.370002] nvme_tcp: copy   13                0                0                0                0                0
[338090.381985] nvme_tcp: copy   14                0                0                0                0                0
[338090.393968] nvme_tcp: copy   15                0                0                0                0                0
[338090.405941] nvme_tcp: copy   16                0                0                0                0                0
[338090.417928] nvme_tcp: copy   17                0                0                0                0                0
[338090.429912] nvme_tcp: copy   18                0                0                0                0                0
[338090.441885] nvme_tcp: copy   19                0                0                0                0                0
[338090.453867] nvme_tcp: copy   20                0                0                0                0                0
[338090.465849] nvme_tcp: copy   21                0                0                0                0                0
[338090.477833] nvme_tcp: copy   22                0                0                0                0                0
[338090.489814] nvme_tcp: copy   23                0                0                0                0                0
[338090.501797] nvme_tcp: copy   24                0                0                0                0                0
[338090.513780] nvme_tcp: copy   25                0                0                0                0                0
[338090.525763] nvme_tcp: copy   26                0                0                0                0                0
[338090.537745] nvme_tcp: copy   27                0                0                0                0                0
[338090.549728] nvme_tcp: crc    0                0       6522085440                0                0                0
[338090.561612] nvme_tcp: crc    1                0                0                0                0                0
[338090.573497] nvme_tcp: crc    2                0                0                0                0                0
[338090.585381] nvme_tcp: crc    3                0                0                0                0                0
[338090.597265] nvme_tcp: crc    4                0                0                0                0                0
[338090.609150] nvme_tcp: crc    5                0                0                0                0                0
[338090.621035] nvme_tcp: crc    6                0                0                0                0                0
[338090.632919] nvme_tcp: crc    7                0                0                0                0                0
[338090.644804] nvme_tcp: crc    8                0                0                0                0                0
[338090.656780] nvme_tcp: crc    9                0                0                0                0                0
[338090.668665] nvme_tcp: crc   10                0                0                0                0                0
[338090.680550] nvme_tcp: crc   11                0                0                0                0                0
[338090.692434] nvme_tcp: crc   12                0                0                0                0                0
[338090.704318] nvme_tcp: crc   13                0                0                0                0                0
[338090.716203] nvme_tcp: crc   14                0                0                0                0                0
[338090.728087] nvme_tcp: crc   15                0                0                0                0                0
[338090.739972] nvme_tcp: crc   16                0                0                0                0                0
[338090.751856] nvme_tcp: crc   17                0                0                0                0                0
[338090.763740] nvme_tcp: crc   18                0                0                0                0                0
[338090.775626] nvme_tcp: crc   19                0                0                0                0                0
[338090.787510] nvme_tcp: crc   20                0                0                0                0                0
[338090.799394] nvme_tcp: crc   21                0                0                0                0                0
[338090.811279] nvme_tcp: crc   22                0                0                0                0                0
[338090.823174] nvme_tcp: crc   23                0                0                0                0                0
[338090.835058] nvme_tcp: crc   24                0                0                0                0                0
[338090.846943] nvme_tcp: crc   25                0                0                0                0                0
[338090.858827] nvme_tcp: crc   26                0                0                0                0                0
[338090.870712] nvme_tcp: crc   27                0                0                0                0                0
[338090.882596] nvme_tcp: tx_crc    0                0                0                0                0                0
[338090.894771] nvme_tcp: tx_crc    1                0                0                0                0                0
[338090.906946] nvme_tcp: tx_crc    2                0                0                0                0                0
[338090.919124] nvme_tcp: tx_crc    3                0                0                0                0                0
[338090.931293] nvme_tcp: tx_crc    4                0                0                0                0                0
[338090.943467] nvme_tcp: tx_crc    5                0                0                0                0                0
[338090.955739] nvme_tcp: tx_crc    6                0                0                0                0                0
[338090.967911] nvme_tcp: tx_crc    7                0                0                0                0                0
[338090.980088] nvme_tcp: tx_crc    8                0                0                0                0                0
[338090.992266] nvme_tcp: tx_crc    9                0                0                0                0                0
[338091.004444] nvme_tcp: tx_crc   10                0                0                0                0                0
[338091.016615] nvme_tcp: tx_crc   11                0                0                0                0                0
[338091.028794] nvme_tcp: tx_crc   12                0                0                0                0                0
[338091.040972] nvme_tcp: tx_crc   13                0                0                0                0                0
[338091.053150] nvme_tcp: tx_crc   14                0                0                0                0                0
