[1073992.040044] systemd-journald[788]: Vacuuming done, freed 0B of archived journals on disk.
[1073993.001807] tee (23162): drop_caches: 3
[1073993.371815] Running randread depth 8 jobs 1 size 16K zc 0 remote zc 0 zcrc 0
[1074052.448527] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 28 
[1074072.499722] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1074072.512591] nvme_tcp: copy    0                0       2115738596                0                0                0
[1074072.524677] nvme_tcp: copy    1                0                0                0                0                0
[1074072.536756] nvme_tcp: copy    2                0                0                0                0                0
[1074072.548838] nvme_tcp: copy    3                0                0                0                0                0
[1074072.560921] nvme_tcp: copy    4                0                0                0                0                0
[1074072.573001] nvme_tcp: copy    5                0                0                0                0                0
[1074072.585082] nvme_tcp: copy    6                0                0                0                0                0
[1074072.597161] nvme_tcp: copy    7                0                0                0                0                0
[1074072.609247] nvme_tcp: copy    8                0                0                0                0                0
[1074072.621331] nvme_tcp: copy    9                0                0                0                0                0
[1074072.633416] nvme_tcp: copy   10                0                0                0                0                0
[1074072.645500] nvme_tcp: copy   11                0                0                0                0                0
[1074072.657585] nvme_tcp: copy   12                0                0                0                0                0
[1074072.669670] nvme_tcp: copy   13                0                0                0                0                0
[1074072.691848] nvme_tcp: copy   14                0                0                0                0                0
[1074072.703933] nvme_tcp: copy   15                0                0                0                0                0
[1074072.716021] nvme_tcp: copy   16                0                0                0                0                0
[1074072.728105] nvme_tcp: copy   17                0                0                0                0                0
[1074072.740188] nvme_tcp: copy   18                0                0                0                0                0
[1074072.752272] nvme_tcp: copy   19                0                0                0                0                0
[1074072.764358] nvme_tcp: copy   20                0                0                0                0                0
[1074072.776442] nvme_tcp: copy   21                0                0                0                0                0
[1074072.788525] nvme_tcp: copy   22                0                0                0                0                0
[1074072.800607] nvme_tcp: copy   23                0                0                0                0                0
[1074072.812693] nvme_tcp: copy   24                0                0                0                0                0
[1074072.824778] nvme_tcp: copy   25                0                0                0                0                0
[1074072.836862] nvme_tcp: copy   26                0                0                0                0                0
[1074072.848947] nvme_tcp: copy   27                0                0                0                0                0
[1074072.861030] nvme_tcp: crc    0                0       2882313440                0                0                0
[1074072.873016] nvme_tcp: crc    1                0                0                0                0                0
[1074072.885002] nvme_tcp: crc    2                0                0                0                0                0
[1074072.896989] nvme_tcp: crc    3                0                0                0                0                0
[1074072.908974] nvme_tcp: crc    4                0                0                0                0                0
