[1135405.508615] nvme nvme2: Removing ctrl: NQN "nqn.2014-08.org.nvmexpress.discovery"
[1135406.440121] tee (21173): drop_caches: 3
[1135406.778575] Running randread depth 16 jobs 1 size 256K zc 0 remote zc 0 zcrc 0
[1135465.936441] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[1135485.981597] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1135485.994656] nvme_tcp: copy    0                0       6516714956                0                0                0
[1135486.006739] nvme_tcp: copy    1                0                0                0                0                0
[1135486.018822] nvme_tcp: copy    2                0                0                0                0                0
[1135486.030904] nvme_tcp: copy    3                0                0                0                0                0
[1135486.042988] nvme_tcp: copy    4                0                0                0                0                0
[1135486.055069] nvme_tcp: copy    5                0                0                0                0                0
[1135486.067155] nvme_tcp: copy    6                0                0                0                0                0
[1135486.079239] nvme_tcp: copy    7                0                0                0                0                0
[1135486.091322] nvme_tcp: copy    8                0                0                0                0                0
[1135486.103409] nvme_tcp: copy    9                0                0                0                0                0
[1135486.115494] nvme_tcp: copy   10                0                0                0                0                0
[1135486.127579] nvme_tcp: copy   11                0                0                0                0                0
[1135486.139667] nvme_tcp: copy   12                0                0                0                0                0
[1135486.151753] nvme_tcp: copy   13                0                0                0                0                0
[1135486.163837] nvme_tcp: copy   14                0                0                0                0                0
[1135486.175922] nvme_tcp: copy   15                0                0                0                0                0
[1135486.188004] nvme_tcp: copy   16                0                0                0                0                0
[1135486.200089] nvme_tcp: copy   17                0                0                0                0                0
[1135486.212172] nvme_tcp: copy   18                0                0                0                0                0
[1135486.224257] nvme_tcp: copy   19                0                0                0                0                0
[1135486.236340] nvme_tcp: copy   20                0                0                0                0                0
[1135486.248424] nvme_tcp: copy   21                0                0                0                0                0
[1135486.260508] nvme_tcp: copy   22                0                0                0                0                0
[1135486.272592] nvme_tcp: copy   23                0                0                0                0                0
[1135486.284675] nvme_tcp: copy   24                0                0                0                0                0
[1135486.296760] nvme_tcp: copy   25                0                0                0                0                0
[1135486.308843] nvme_tcp: copy   26                0                0                0                0                0
[1135486.320929] nvme_tcp: copy   27                0                0                0                0                0
[1135486.333012] nvme_tcp: crc    0                0       7946306316                0                0                0
[1135486.344999] nvme_tcp: crc    1                0                0                0                0                0
[1135486.356984] nvme_tcp: crc    2                0                0                0                0                0
[1135486.368971] nvme_tcp: crc    3                0                0                0                0                0
[1135486.380955] nvme_tcp: crc    4                0                0                0                0                0
[1135486.392942] nvme_tcp: crc    5                0                0                0                0                0
[1135486.404978] nvme_tcp: crc    6                0                0                0                0                0
[1135486.416965] nvme_tcp: crc    7                0                0                0                0                0
[1135486.428950] nvme_tcp: crc    8                0                0                0                0                0
[1135486.440938] nvme_tcp: crc    9                0                0                0                0                0
[1135486.452923] nvme_tcp: crc   10                0                0                0                0                0
[1135486.464910] nvme_tcp: crc   11                0                0                0                0                0
[1135486.476895] nvme_tcp: crc   12                0                0                0                0                0
