[1122703.256656] tee (20349): drop_caches: 3
[1122703.588572] Running randread depth 4096 jobs 1 size 64K zc 0 remote zc 0 zcrc 0
[1122762.754864] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[1122782.808197] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1122782.821066] nvme_tcp: copy    0                0      13286830844                0                0                0
[1122782.833155] nvme_tcp: copy    1                0                0                0                0                0
[1122782.845235] nvme_tcp: copy    2                0                0                0                0                0
[1122782.857318] nvme_tcp: copy    3                0                0                0                0                0
[1122782.869398] nvme_tcp: copy    4                0                0                0                0                0
[1122782.881480] nvme_tcp: copy    5                0                0                0                0                0
[1122782.893094] systemd-journald[788]: Successfully sent stream file descriptor to service manager.
[1122782.893559] nvme_tcp: copy    6                0                0                0                0                0
[1122782.893560] nvme_tcp: copy    7                0                0                0                0                0
[1122782.893564] nvme_tcp: copy    8                0                0                0                0                0
[1122782.893569] nvme_tcp: copy    9                0                0                0                0                0
[1122782.951925] nvme_tcp: copy   10                0                0                0                0                0
[1122782.964008] nvme_tcp: copy   11                0                0                0                0                0
[1122782.976091] nvme_tcp: copy   12                0                0                0                0                0
[1122782.988177] nvme_tcp: copy   13                0                0                0                0                0
[1122783.000259] nvme_tcp: copy   14                0                0                0                0                0
[1122783.012342] nvme_tcp: copy   15                0                0                0                0                0
[1122783.024430] nvme_tcp: copy   16                0                0                0                0                0
[1122783.036514] nvme_tcp: copy   17                0                0                0                0                0
[1122783.048598] nvme_tcp: copy   18                0                0                0                0                0
[1122783.060682] nvme_tcp: copy   19                0                0                0                0                0
[1122783.072766] nvme_tcp: copy   20                0                0                0                0                0
[1122783.084850] nvme_tcp: copy   21                0                0                0                0                0
[1122783.096934] nvme_tcp: copy   22                0                0                0                0                0
[1122783.109018] nvme_tcp: copy   23                0                0                0                0                0
[1122783.121102] nvme_tcp: copy   24                0                0                0                0                0
[1122783.133187] nvme_tcp: copy   25                0                0                0                0                0
[1122783.145270] nvme_tcp: copy   26                0                0                0                0                0
[1122783.157354] nvme_tcp: copy   27                0                0                0                0                0
[1122783.169439] nvme_tcp: crc    0                0       5204213528                0                0                0
[1122783.181452] nvme_tcp: crc    1                0                0                0                0                0
[1122783.193438] nvme_tcp: crc    2                0                0                0                0                0
[1122783.205424] nvme_tcp: crc    3                0                0                0                0                0
[1122783.217408] nvme_tcp: crc    4                0                0                0                0                0
[1122783.229395] nvme_tcp: crc    5                0                0                0                0                0
[1122783.241381] nvme_tcp: crc    6                0                0                0                0                0
[1122783.253366] nvme_tcp: crc    7                0                0                0                0                0
[1122783.265351] nvme_tcp: crc    8                0                0                0                0                0
[1122783.277337] nvme_tcp: crc    9                0                0                0                0                0
[1122783.289323] nvme_tcp: crc   10                0                0                0                0                0
[1122783.301309] nvme_tcp: crc   11                0                0                0                0                0
[1122783.323358] nvme_tcp: crc   12                0                0                0                0                0
[1122783.335344] nvme_tcp: crc   13                0                0                0                0                0
[1122783.347330] nvme_tcp: crc   14                0                0                0                0                0
[1122783.359317] nvme_tcp: crc   15                0                0                0                0                0
[1122783.371302] nvme_tcp: crc   16                0                0                0                0                0
[1122783.383289] nvme_tcp: crc   17                0                0                0                0                0
[1122783.395274] nvme_tcp: crc   18                0                0                0                0                0
[1122783.407260] nvme_tcp: crc   19                0                0                0                0                0
[1122783.419245] nvme_tcp: crc   20                0                0                0                0                0
[1122783.431233] nvme_tcp: crc   21                0                0                0                0                0
[1122783.443218] nvme_tcp: crc   22                0                0                0                0                0
[1122783.455204] nvme_tcp: crc   23                0                0                0                0                0
[1122783.467187] nvme_tcp: crc   24                0                0                0                0                0
[1122783.479169] nvme_tcp: crc   25                0                0                0                0                0
[1122783.491154] nvme_tcp: crc   26                0                0                0                0                0
[1122783.503141] nvme_tcp: crc   27                0                0                0                0                0
[1122783.515127] nvme_tcp: tx_crc    0                0                0                0                0                0
[1122783.527403] nvme_tcp: tx_crc    1                0                0                0                0                0
[1122783.539679] nvme_tcp: tx_crc    2                0                0                0                0                0
[1122783.551955] nvme_tcp: tx_crc    3                0                0                0                0                0
[1122783.564233] nvme_tcp: tx_crc    4                0                0                0                0                0
[1122783.576509] nvme_tcp: tx_crc    5                0                0                0                0                0
[1122783.588786] nvme_tcp: tx_crc    6                0                0                0                0                0
[1122783.601065] nvme_tcp: tx_crc    7                0                0                0                0                0
[1122783.613343] nvme_tcp: tx_crc    8                0                0                0                0                0
[1122783.625618] nvme_tcp: tx_crc    9                0                0                0                0                0
[1122783.637894] nvme_tcp: tx_crc   10                0                0                0                0                0
[1122783.650171] nvme_tcp: tx_crc   11                0                0                0                0                0
[1122783.662448] nvme_tcp: tx_crc   12                0                0                0                0                0
[1122783.674724] nvme_tcp: tx_crc   13                0                0                0                0                0
[1122783.686999] nvme_tcp: tx_crc   14                0                0                0                0                0
[1122783.699279] nvme_tcp: tx_crc   15                0                0                0                0                0
[1122783.711557] nvme_tcp: tx_crc   16                0                0                0                0                0
[1122783.723835] nvme_tcp: tx_crc   17                0                0                0                0                0
[1122783.736113] nvme_tcp: tx_crc   18                0                0                0                0                0
[1122783.748389] nvme_tcp: tx_crc   19                0                0                0                0                0
[1122783.760668] nvme_tcp: tx_crc   20                0                0                0                0                0
[1122783.772946] nvme_tcp: tx_crc   21                0                0                0                0                0
[1122783.785224] nvme_tcp: tx_crc   22                0                0                0                0                0
[1122783.797502] nvme_tcp: tx_crc   23                0                0                0                0                0
[1122783.809780] nvme_tcp: tx_crc   24                0                0                0                0                0
[1122783.822114] nvme_tcp: tx_crc   25                0                0                0                0                0
[1122783.834392] nvme_tcp: tx_crc   26                0                0                0                0                0
[1122783.846671] nvme_tcp: tx_crc   27                0                0                0                0                0
[1122783.858948] nvme_tcp: tracing_off done
[1122783.858948] nvme_tcp: tracing_off done
[1122818.674974] tee (22312): drop_caches: 3
[1122818.933970] Running randread depth 4096 jobs 1 size 64K zc 0 remote zc 0 zcrc 0
[1122878.119791] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[1122898.156274] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[1122898.169149] nvme_tcp: copy    0                0      14282697096                0                0                0
[1122898.181237] nvme_tcp: copy    1                0                0                0                0                0
[1122898.193309] nvme_tcp: copy    2                0                0                0                0                0
[1122898.205391] nvme_tcp: copy    3                0                0                0                0                0
[1122898.217475] nvme_tcp: copy    4                0                0                0                0                0
[1122898.229557] nvme_tcp: copy    5                0                0                0                0                0
[1122898.241641] nvme_tcp: copy    6                0                0                0                0                0
[1122898.253723] nvme_tcp: copy    7                0                0                0                0                0
[1122898.265809] nvme_tcp: copy    8                0                0                0                0                0
[1122898.277894] nvme_tcp: copy    9                0                0                0                0                0
[1122898.289977] nvme_tcp: copy   10                0                0                0                0                0
[1122898.302061] nvme_tcp: copy   11                0                0                0                0                0
[1122898.314144] nvme_tcp: copy   12                0                0                0                0                0
[1122898.326228] nvme_tcp: copy   13                0                0                0                0                0
[1122898.338311] nvme_tcp: copy   14                0                0                0                0                0
[1122898.350396] nvme_tcp: copy   15                0                0                0                0                0
[1122898.362479] nvme_tcp: copy   16                0                0                0                0                0
[1122898.374566] nvme_tcp: copy   17                0                0                0                0                0
[1122898.386649] nvme_tcp: copy   18                0                0                0                0                0
[1122898.398734] nvme_tcp: copy   19                0                0                0                0                0
[1122898.410817] nvme_tcp: copy   20                0                0                0                0                0
[1122898.422900] nvme_tcp: copy   21                0                0                0                0                0
[1122898.434984] nvme_tcp: copy   22                0                0                0                0                0
[1122898.447067] nvme_tcp: copy   23                0                0                0                0                0
[1122898.459150] nvme_tcp: copy   24                0                0                0                0                0
[1122898.471234] nvme_tcp: copy   25                0                0                0                0                0
[1122898.483317] nvme_tcp: copy   26                0                0                0                0                0
[1122898.495401] nvme_tcp: copy   27                0                0                0                0                0
[1122898.507484] nvme_tcp: crc    0                0       5047025428                0                0                0
[1122898.519470] nvme_tcp: crc    1                0                0                0                0                0
[1122898.531456] nvme_tcp: crc    2                0                0                0                0                0
[1122898.543442] nvme_tcp: crc    3                0                0                0                0                0
[1122898.555429] nvme_tcp: crc    4                0                0                0                0                0
[1122898.567415] nvme_tcp: crc    5                0                0                0                0                0
[1122898.579399] nvme_tcp: crc    6                0                0                0                0                0
[1122898.591386] nvme_tcp: crc    7                0                0                0                0                0
[1122898.603371] nvme_tcp: crc    8                0                0                0                0                0
[1122898.615358] nvme_tcp: crc    9                0                0                0                0                0
[1122898.627343] nvme_tcp: crc   10                0                0                0                0                0
[1122898.639328] nvme_tcp: crc   11                0                0                0                0                0
[1122898.651312] nvme_tcp: crc   12                0                0                0                0                0
[1122898.663296] nvme_tcp: crc   13                0                0                0                0                0
[1122898.685508] nvme_tcp: crc   14                0                0                0                0                0
[1122898.697493] nvme_tcp: crc   15                0                0                0                0                0
[1122898.709479] nvme_tcp: crc   16                0                0                0                0                0
[1122898.721464] nvme_tcp: crc   17                0                0                0                0                0
[1122898.733448] nvme_tcp: crc   18                0                0                0                0                0
[1122898.745433] nvme_tcp: crc   19                0                0                0                0                0
[1122898.757417] nvme_tcp: crc   20                0                0                0                0                0
[1122898.769402] nvme_tcp: crc   21                0                0                0                0                0
[1122898.781391] nvme_tcp: crc   22                0                0                0                0                0
[1122898.793376] nvme_tcp: crc   23                0                0                0                0                0
[1122898.805361] nvme_tcp: crc   24                0                0                0                0                0
[1122898.817344] nvme_tcp: crc   25                0                0                0                0                0
[1122898.829325] nvme_tcp: crc   26                0                0                0                0                0
[1122898.841313] nvme_tcp: crc   27                0                0                0                0                0
[1122898.853298] nvme_tcp: tx_crc    0                0                0                0                0                0
[1122898.865574] nvme_tcp: tx_crc    1                0                0                0                0                0
[1122898.877848] nvme_tcp: tx_crc    2                0                0                0                0                0
[1122898.890124] nvme_tcp: tx_crc    3                0                0                0                0                0
[1122898.902400] nvme_tcp: tx_crc    4                0                0                0                0                0
[1122898.914678] nvme_tcp: tx_crc    5                0                0                0                0                0
[1122898.926954] nvme_tcp: tx_crc    6                0                0                0                0                0
[1122898.939229] nvme_tcp: tx_crc    7                0                0                0                0                0
[1122898.951507] nvme_tcp: tx_crc    8                0                0                0                0                0
