test,bandwidth,cpu,enc_cycles,perf_cycles,perf_task-clock,iperf,dec_cycles,iperf_std,perf_cycles_std,enc_cycles_std,dec_cycles_std
iperf_tx-8192-0-0-0,0.00,0.00,0,80686095966.8,40343.1,6.655,0,0.0390512483795,43246547.2044,0,0,
iperf_tx-16384-1-0-0,7.00,3.55,0.0,80685386214.5,40342.7475,7.2125,1207356819.03,0.028173569174,29884734.8733,0.0,2849662.11021,
iperf_tx-4096-0-1-0,0.00,0.00,0,80102940114.0,40051.52125,8.21875,0,0.166616138174,1271530.25721,0,0,
iperf_tx-8192-0-1-0,0.00,0.00,0,80099286824.0,40049.69375,9.92625,0,0.10792792734,2087604.74475,0,0,
iperf_tx-16384-1-1-0,10.38,3.55,1405342080.7,80102966510.6,40051.535,10.3175,0.0,0.476596002921,3783638.47944,108510754.528,0.0,
iperf_tx-4096-0-0-0,0.00,0.00,0,80696780415.8,40348.44375,5.7025,0,0.0108972473589,15685068.2795,0,0,
iperf_tx-2048-0-0-0,0.00,0.00,0,80697032425.8,40348.56875,4.135,0,0.00707106781187,24180438.6492,0,0,
iperf_tx-8192-1-1-0,9.88,3.55,1395652324.25,80101785708.5,40050.945,9.39625,0.0,0.489130286836,4065607.04565,29412497.2604,0.0,
iperf_tx-2048-1-1-0,5.00,3.56,1222288205.18,80095829138.0,40047.9675,5.3325,0.0,0.0971789586279,3974130.02489,39914728.5551,0.0,
iperf_tx-8192-1-0-0,6.00,3.55,0.0,80697171588.9,40348.6375,6.6225,1165854898.35,0.015612494996,23540886.0684,0.0,2395759.09806,
iperf_tx-16384-0-0-0,0.00,0.00,0,80707226945.8,40353.66625,7.21875,0,0.0183285978733,7785741.29961,0,0,
iperf_tx-2048-0-1-0,0.00,0.00,0,80100538031.5,40050.32125,5.50375,0,0.0998670991869,655707.446908,0,0,
iperf_tx-4096-1-0-0,5.00,3.55,0.0,80698986695.6,40349.545,5.68,1105668129.28,0.0158113883008,30622873.9939,0.0,3280625.09287,
iperf_tx-2048-1-0-0,4.00,3.55,0.0,80708462192.6,40354.2825,4.09625,1078618339.03,0.0085695682505,6403550.14284,0.0,1923946.90088,
iperf_tx-4096-1-1-0,7.88,3.55,1314641923.78,80097823091.0,40048.96375,7.935,0.0,0.0672681202354,5544931.95542,37153338.0749,0.0,
iperf_tx-16384-0-1-0,0.00,0.00,0,80099077235.6,40049.59,10.50625,0,0.865403626928,3279407.10274,0,0,
