test,bandwidth,cpu,wrk_bw,wrk_tps,wrk_tps_std,wrk_lat_avg,wrk_lat_avg_std,enp4s0f1_tx_bytes,enp4s0f1_tx_bytes_std,enp4s0f1_rx_bytes,enp4s0f1_rx_bytes_std,cpu_1,cpu_3,cpu_5,cpu_7,cpu_9,cpu_11,cpu_13,cpu_15,cpu_17
nginx-0-1-128-262144-0,7.00,4.01,6.480784,3239.65666667,3.7505229265,43273.3333333,265.999164577,904404462.33,245308.46,1998571.33,6467.26,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-262144-1,12.00,3.99,10.88,5566.59666667,5.66795867624,24860.0,0.0,1546469051.00,584397.51,2591000.33,3214.15,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-262144-2,19.00,3.98,17.04,8737.74333333,12.9291410731,15440.0,8.16496580928,2434961196.33,3945358.73,3887368.33,6722.45,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-262144-3,27.00,4.01,24.048,12297.9966667,33.0824518774,23276.6666667,73.1816613337,3383914951.33,4420030.78,4688771.67,5298.60,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-4096-0,0.00,4.01,0.468992,14302.8766667,131.660913039,9930.0,86.4098759788,68485202.67,280774.67,3709106.00,15155.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-4096-1,0.00,3.96,0.518928,15659.13,14.6129075364,9043.33333333,9.42809041582,74374029.00,188345.77,4027714.33,10174.50,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-4096-2,0.00,3.95,0.531632,16069.21,28.4170523923,8783.33333333,16.996731712,76094592.33,247165.31,4120711.00,13250.65,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-4096-3,0.00,4.00,0.730064,22074.0466667,18.9963107529,14850.0,8.16496580928,102509965.00,20873.21,4737688.67,833.84,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-65536-3,9.67,4.00,8.864,18212.0166667,85.5084542929,17140.0,123.558353286,1256724233.33,6092621.98,4656609.00,68730.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-65536-2,7.00,3.96,6.594032,13142.8966667,84.3351157914,10590.0,71.1805216802,915196517.67,6866223.83,3739576.33,27424.42,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-65536-1,5.00,3.97,5.34792,10669.15,30.6760047377,13090.0,43.2049379894,743816525.00,1345601.25,3258339.00,3188.57,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-65536-0,4.00,4.01,3.976352,7946.48333333,12.0020951875,18100.0,94.1629792788,556481680.00,817873.08,2472371.67,15379.86,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-8-128-1048576-0,57.33,26.39,52.512,6720.04666667,12.357373867,19650.0,65.3197264742,7254095351.00,31515874.28,10522010.00,44132.13,95.00,91.00,95.67,89.67,86.00,86.00,91.33,86.67,0.00,
nginx-0-8-128-1048576-1,98.00,26.50,86.992,11126.9966667,6.89455018273,11813.3333333,52.4933858267,12304272942.33,1526729.92,14534805.33,120636.78,91.00,91.33,98.67,94.67,91.67,86.67,85.33,89.67,0.00,
nginx-0-8-128-1048576-2,98.00,14.67,87.12,11142.2,0.930483745156,12023.3333333,20.5480466766,12320071347.67,259393.72,15444154.33,25397.64,48.33,49.00,50.67,51.00,52.67,49.00,47.33,48.33,0.00,
nginx-0-8-128-1048576-3,98.00,11.36,87.6,11208.0066667,0.451097427269,12723.3333333,95.3356643072,12322156603.67,572196.88,17065243.33,42658.69,37.33,39.00,39.33,39.67,39.33,36.33,35.67,35.67,0.00,
nginx-0-8-128-262144-3,98.00,17.37,87.584,44797.14,2.17353782269,3053.33333333,4.71404520791,12320486274.67,156697.25,23883726.33,44179.01,58.33,61.00,61.00,62.00,60.00,56.33,56.00,55.33,0.00,
nginx-0-8-128-262144-2,98.00,21.48,86.976,44479.33,9.34242295481,2980.0,8.16496580928,12302104101.00,1195940.95,21549229.67,1732.07,74.33,73.67,75.67,75.67,74.67,70.00,70.33,70.00,0.00,
nginx-0-8-128-262144-1,84.33,27.03,75.04,38363.2566667,94.6516562043,3880.0,21.6024689947,10588542893.00,59672700.82,16528750.33,79561.39,95.00,93.00,95.67,94.67,92.67,89.33,90.67,89.33,0.00,
nginx-0-8-128-262144-0,52.00,27.57,46.112,23624.0933333,64.7673793064,6620.0,28.2842712475,6539860679.67,62856606.13,12752482.33,95167.71,96.67,94.00,95.33,95.00,94.00,92.67,93.33,91.33,0.00,
nginx-0-1-128-16384-0,1.00,4.01,1.574832,12410.6333333,125.660837,11496.6666667,89.5668589503,222331482.33,1571688.28,3304233.67,22644.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-16384-1,2.00,3.96,1.826112,14386.5366667,88.1349058105,9843.33333333,51.854497287,255364542.33,1293848.97,3801224.00,20400.50,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-16384-2,2.00,3.95,1.967744,15510.4866667,67.391560962,9113.33333333,49.888765157,275077582.00,1330217.92,4095900.33,21187.88,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
nginx-0-1-128-16384-3,2.67,4.01,2.731696,21552.97,20.4993512092,14976.6666667,18.8561808316,375395231.33,768545.88,4659330.00,9438.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
